"locality","divorces_sum","year"
"שוהם",35,2022
"אריאל",34,2015
"אריאל",34,2017
"אריאל",34,2020
"בית שאן",34,2015
"גבעת זאב",34,2015
"גבעת זאב",34,2019
"טירת כרמל",34,2015
"מודיעין עילית",34,2022
"שוהם",34,2021
"אבן יהודה",33,2022
"בית שאן",33,2016
"בית שאן",33,2019
"גבעת שמואל",33,2019
"גני תקווה",33,2019
"זכרון יעקב",33,2017
"יהוד-מונוסון",33,2020
"מגדל העמק",33,2015
"קריית עקרון",33,2018
"קריית שמונה",33,2023
"באר יעקב",32,2015
"בנימינה-גבעת עדה",32,2022
"גבעת זאב",32,2022
"גבעת שמואל",32,2016
"גדרה",32,2015
"כפר יונה",32,2017
"נוף הגליל",32,2016
"נוף הגליל",32,2017
"נשר",32,2017
"נשר",32,2023
"קריית טבעון",32,2018
"שוהם",32,2016
"אור עקיבא",31,2016
"אור עקיבא",31,2019
"בנימינה-גבעת עדה",31,2016
"גבעת שמואל",31,2015
"גני תקווה",31,2021
"יקנעם עילית",31,2015
"נשר",31,2020
"קריית טבעון",31,2016
"קריית טבעון",31,2017
"קריית טבעון",31,2023
"קריית עקרון",31,2019
"אור עקיבא",30,2018
"אריאל",30,2019
"זכרון יעקב",30,2015
"יקנעם עילית",30,2020
"מזכרת בתיה",30,2020
"מעלות-תרשיחא",30,2016
"קריית טבעון",30,2022
"שוהם",30,2018
"אריאל",29,2021
"שוהם",29,2020
"אבן יהודה",28,2015
"אבן יהודה",28,2016
"ביתר עילית",28,2018
"גדרה",28,2017
"מעלות-תרשיחא",28,2017
"נוף הגליל",28,2021
"ערד",28,2021
"קריית טבעון",28,2020
"קריית טבעון",28,2021
"תל מונד",28,2018
"בנימינה-גבעת עדה",27,2019
"גבעת זאב",27,2016
"גבעת זאב",27,2020
"גבעת שמואל",27,2018
"מזכרת בתיה",27,2019
"נשר",27,2019
"קריית טבעון",27,2019
"קריית עקרון",27,2015
"אור עקיבא",26,2015
"אזור",26,2018
"אריאל",26,2018
"גני תקווה",26,2015
"חריש",26,2019
"מזכרת בתיה",26,2018
"נוף הגליל",26,2018
"נוף הגליל",26,2019
"ערד",26,2019
"אורנית",25,2021
"אזור",25,2015
"בנימינה-גבעת עדה",25,2015
"חצור הגלילית",25,2016
"מודיעין עילית",25,2015
"מזכרת בתיה",25,2021
"מזכרת בתיה",25,2023
"קריית טבעון",25,2015
"קריית עקרון",25,2016
"תל מונד",25,2019
"אלפי מנשה",24,2016
"חצור הגלילית",24,2021
"מעלות-תרשיחא",24,2021
"נוף הגליל",24,2023
"שוהם",24,2017
"תל מונד",24,2016
"תל מונד",24,2021
"אזור",23,2017
"נוף הגליל",23,2020
"נוף הגליל",23,2022
"ערד",23,2015
"קריית עקרון",23,2017
"קריית עקרון",23,2021
"קריית עקרון",23,2022
"אבן יהודה",22,2020
"אלפי מנשה",22,2017
"אפרתה",22,2021
"אפרתה",22,2023
"בית דגן",22,2022
"גני תקווה",22,2016
"ירוחם",22,2019
"ערד",22,2023
"שערי תקווה",22,2021
"תל מונד",22,2017
"אבן יהודה",21,2017
"אבן יהודה",21,2019
"אבן יהודה",21,2021
"אבן יהודה",21,2023
"אורנית",21,2017
"אלפי מנשה",21,2015
"אלפי מנשה",21,2018
"בנימינה-גבעת עדה",21,2020
"גבע בנימין",21,2020
"גבע בנימין",21,2023
"חצור הגלילית",21,2018
"חצור הגלילית",21,2020
"עתלית",21,2021
"עתלית",21,2023
"קריית עקרון",21,2023
"רמת ישי",21,2021
"שלומי",21,2023
"אזור",20,2016
"אריאל",20,2016
"בית דגן",20,2019
"בנימינה-גבעת עדה",20,2023
"גבעת זאב",20,2017
"חצור הגלילית",20,2017
"מעלות-תרשיחא",20,2023
"ערד",20,2016
"צור יצחק",20,2021
"אזור",19,2022
"אלפי מנשה",19,2022
"אריאל",19,2022
"בנימינה-גבעת עדה",19,2017
"גבע בנימין",19,2019
"ירוחם",19,2020
"ירוחם",19,2022
"מזכרת בתיה",19,2016
"מעלות-תרשיחא",19,2022
"ערד",19,2017
"קרני שומרון",19,2020
"שלומי",19,2017
"תל מונד",19,2023
"אורנית",18,2015
"אורנית",18,2023
"אפרתה",18,2019
"בנימינה-גבעת עדה",18,2018
"כוכב יאיר צור יגאל",18,2021
"כוכב יאיר צור יגאל",18,2023
"מזכרת בתיה",18,2017
"מיתר",18,2023
"מעלות-תרשיחא",18,2015
"ערד",18,2022
"צור הדסה",18,2020
"קצרין",18,2015
"רמת ישי",18,2020
"אבן יהודה",17,2018
"אורנית",17,2016
"אזור",17,2023
"אלפי מנשה",17,2021
"אלפי מנשה",17,2023
"בית דגן",17,2020
"בית דגן",17,2023
"חצור הגלילית",17,2019
"חצור הגלילית",17,2022
"ירוחם",17,2023
"מיתר",17,2022
"עתלית",17,2015
"קצרין",17,2018
"קריית ארבע",17,2019
"קריית עקרון",17,2020
"שלומי",17,2018
"תל מונד",17,2020
"אורנית",16,2018
"בית דגן",16,2021
"חריש",16,2018
"ירוחם",16,2021
"כוכב יאיר צור יגאל",16,2019
"כוכב יאיר צור יגאל",16,2020
"מעלות-תרשיחא",16,2018
"מעלות-תרשיחא",16,2020
"ערד",16,2018
"עתלית",16,2016
"עתלית",16,2018
"פרדסיה",16,2021
"צור יצחק",16,2018
"צור יצחק",16,2022
"קצרין",16,2017
"קריית ארבע",16,2016
"קרני שומרון",16,2022
"רמת ישי",16,2022
"רמת ישי",16,2023
"אורנית",15,2019
"אריאל",15,2023
"בית אריה",15,2022
"כוכב יעקב",15,2019
"כפר ורדים",15,2020
"מזכרת בתיה",15,2022
"צור הדסה",15,2019
"צור הדסה",15,2021
"קיסריה",15,2016
"קרני שומרון",15,2023
"רכסים",15,2021
"רמת ישי",15,2016
"שלומי",15,2015
"שלומי",15,2019
"תל מונד",15,2022
"אזור",14,2021
"אלפי מנשה",14,2019
"אפרתה",14,2022
"בית אל",14,2016
"בית אריה",14,2019
"בית אריה",14,2020
"בית אריה",14,2023
"בית דגן",14,2016
"ירוחם",14,2015
"ירוחם",14,2018
"כוכב יאיר צור יגאל",14,2022
"כוכב יעקב",14,2022
"כפר ורדים",14,2017
"כפר ורדים",14,2023
"להבים",14,2017
"מיתר",14,2020
"מעלות-תרשיחא",14,2019
"עתלית",14,2020
"עתלית",14,2022
"צור הדסה",14,2016
"קיסריה",14,2019
"רכסים",14,2020
"רכסים",14,2023
"שלומי",14,2022
"שערי תקווה",14,2019
"אורנית",13,2020
"אליכין",13,2019
"אלפי מנשה",13,2020
"אפרתה",13,2015
"אפרתה",13,2020
"בית אריה",13,2015
"בית דגן",13,2017
"בני עי""ש",13,2021
"בת חפר",13,2020
"להבים",13,2023
"מיתר",13,2016
"עומר",13,2017
"עתלית",13,2017
"פרדסיה",13,2016
"פרדסיה",13,2022
"צור הדסה",13,2023
"קיסריה",13,2021
"קצרין",13,2016
"קצרין",13,2019
"קריית ארבע",13,2021
"קרני שומרון",13,2018
"רמת ישי",13,2018
"שלומי",13,2021
"שערי תקווה",13,2015
"תל מונד",13,2015
"אורנית",12,2022
"אזור",12,2020
"בית דגן",12,2015
"בת חפר",12,2016
"בת חפר",12,2018
"גבע בנימין",12,2015
"גבע בנימין",12,2021
"חצור הגלילית",12,2023
"יבנאל",12,2023
"כוכב יאיר צור יגאל",12,2017
"כוכב יעקב",12,2020
"כפר ורדים",12,2016
"להבים",12,2021
"עומר",12,2019
"עומר",12,2020
"פרדסיה",12,2017
"צור יצחק",12,2015
"צור יצחק",12,2019
"קיסריה",12,2022
"קצרין",12,2022
"קרני שומרון",12,2015
"קרני שומרון",12,2017
"רמת ישי",12,2015
"תקוע",12,2020
"בת חפר",11,2019
"בת חפר",11,2021
"חצור הגלילית",11,2015
"חשמונאים",11,2017
"יבנאל",11,2017
"ירוחם",11,2016
"כוכב יאיר צור יגאל",11,2015
